Rk,Date,Tm,Unnamed: 3_level_1,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
450,2019-03-11,DET,@,BRK,L 75-103,240,27,97,.278,19,63,.302,8,34,.235,13,16,.813,75
451,2019-03-11,CLE,,TOR,W 126-101,240,44,94,.468,26,53,.491,18,41,.439,20,21,.952,126
452,2019-03-11,TOR,@,CLE,L 101-126,240,40,84,.476,29,45,.644,11,39,.282,10,17,.588,101
453,2019-03-11,CHA,@,HOU,L 106-118,240,38,89,.427,22,48,.458,16,41,.390,14,15,.933,106
454,2019-03-11,HOU,,CHO,W 118-106,240,38,91,.418,21,48,.438,17,43,.395,25,27,.926,118
455,2019-03-11,BOS,@,LAC,L 115-140,240,44,91,.484,30,55,.545,14,36,.389,13,19,.684,115
456,2019-03-11,LAC,,BOS,W 140-115,240,53,86,.616,40,58,.690,13,28,.464,21,25,.840,140
457,2019-03-11,OKC,@,UTA,W 98-89,240,36,79,.456,29,57,.509,7,22,.318,19,27,.704,98
458,2019-03-11,UTA,,OKC,L 89-98,240,32,88,.364,19,45,.422,13,43,.302,12,17,.706,89
459,2019-03-11,SAC,@,WAS,L 115-121,240,41,91,.451,32,64,.500,9,27,.333,24,32,.750,115
460,2019-03-11,WAS,,SAC,W 121-115,240,40,86,.465,26,49,.531,14,37,.378,27,33,.818,121
461,2019-03-10,ATL,,NOP,W 128-116,240,48,98,.490,31,61,.508,17,37,.459,15,18,.833,128
462,2019-03-10,NOP,@,ATL,L 116-128,240,45,101,.446,27,60,.450,18,41,.439,8,8,1.000,116
463,2019-03-10,DAL,,HOU,L 93-94,240,31,75,.413,22,43,.512,9,32,.281,22,27,.815,93
464,2019-03-10,HOU,@,DAL,W 94-93,240,32,88,.364,16,36,.444,16,52,.308,14,22,.636,94
465,2019-03-10,CHI,@,DET,L 108-131,240,41,82,.500,32,64,.500,9,18,.500,17,26,.654,108
466,2019-03-10,DET,,CHI,W 131-108,240,49,91,.538,30,56,.536,19,35,.543,14,22,.636,131
467,2019-03-10,GSW,,PHO,L 111-115,240,42,95,.442,32,52,.615,10,43,.233,17,22,.773,111
468,2019-03-10,PHO,@,GSW,W 115-111,240,42,86,.488,32,61,.525,10,25,.400,21,27,.778,115
